station_code,station_name,working_name,provisional_station,shelved_station,elevated_station,underground_station,transit_hub_station,interchange_stations,connecting_stations,connecting_rail_lines,connecting_bus_lines,feeder_bus,park_and_ride,malls,hypermarkets,tourist_attractions,hospitals,universities,colleges,government_agencies,cafes,parks,botanical_gardens,stadium
KG20,Tun Razak Exchange-Samsung Galaxy (TRX),Pasar Rakyat,No,No,No,Yes,No,PY23 Tun Razak Exchange-Samsung Galaxy (TRX) [MRT Putrajaya Line],N/A,MRT Putrajaya Line,"T407, 402",N/A,No,The Exchange TRX,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG21,Cochrane,Cochrane,No,No,No,Yes,No,N/A,N/A,N/A,"T352, T400, T401, GOKL 11, 420",T401 feeder bus to SP12 Cheras [LRT Sri Petaling Line],No,"MyTOWN Shopping Centre, IKEA Cheras",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG22,AEON - Maluri,Maluri,No,No,No,Yes,No,AG13 Maluri [LRT Ampang Line],N/A,LRT Ampang Line,"T352, T400, T401, GOKL 10, GOKL 11, 400, 402, 450",T401 feeder bus to SP12 Cheras [LRT Sri Petaling Line],Yes,"AEON Mall Taman Maluri, Sunway Velocity Mall",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG23,Taman Pertama,Taman Bukit Ria,No,No,Yes,No,No,N/A,N/A,N/A,"T305, 400, 405",N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG24,Taman Midah,Taman Bukit Mewah,No,No,Yes,No,No,N/A,N/A,N/A,"T305, T402, 400, 450",T402 feeder bus to SP13 Salak Selatan [LRT Sri Petaling line] & Hospital Canselor Tuanku Muhriz UKM,Yes,N/A,Lotus Cheras,N/A,Hospital Canselor Tuanku Muhriz UKM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG25,Taman Mutiara,Leisure Mall,No,No,Yes,No,No,N/A,N/A,N/A,"T408, T409, 400, 450",N/A,No,"EkoCheras Mall, Cheras LeisureMall",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG26,Taman Connaught,Plaza Phoenix,No,No,Yes,No,No,N/A,N/A,N/A,"T410, T411, T412, 450","T410 feeder bus to KB04 Bandar Tasik Selatan [KTM Batu Caves-Pulau Sebang Line], SP15 Bandar Tasik Selatan [LRT Sri Petaling Line], KT02 Bandar Tasik Selatan [ERL KLIA Transit Line]",No,Cheras Sentral Mall,N/A,N/A,N/A,UCSI university,N/A,N/A,N/A,N/A,N/A,N/A
KG27,Taman Suntex,Taman Suntex,No,No,Yes,No,No,N/A,N/A,N/A,"T413, T406, 450",N/A,Yes,N/A,NSK Trade City Taman Suntex,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG28,Sri Raya,Taman Cuepacs,No,No,Yes,No,No,N/A,N/A,N/A,"T414, T406, 450",N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG29,Bandar Tun Hussein Onn,Bandar Tun Hussein Onn,No,No,Yes,No,No,N/A,N/A,N/A,"T415, KJ03",N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG30,Batu 11 Cheras,Balakong,No,No,Yes,No,No,N/A,N/A,N/A,"T416, T417, T569, 450, 590",N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG31,Bukit Dukung,Taman Koperasi,No,No,Yes,No,No,N/A,N/A,N/A,"T453, T454, T455, 450",N/A,Yes,N/A,N/A,N/A,N/A,Universiti Tunku Abdul Rahman (UTAR),N/A,N/A,N/A,N/A,N/A,N/A
KG32,Taman Mesra,N/A,No,Yes,No,No,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG33,Sungai Jernih,Saujana Impian,No,No,Yes,No,No,N/A,N/A,N/A,"T456, 450",N/A,Yes,N/A,Lotus Kajang,N/A,KPJ Kajang Specialist Hospital,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG34,Stadium Kajang,Bandar Kajang,No,No,Yes,No,No,N/A,N/A,N/A,"T450, T451, T457, T458, T459, T460, KJ01, 450",T451 feeder bus to Universiti Kebangsaan Malaysia via KB06 Kajang & KB07 UKM [KTM Batu Caves-Pulau Sebang Line],No,"Plaza Metro Kajang, Metro Point Kajang",Mydin Mart Kajang,N/A,Hospital Kajang,Universiti Kebangsaan Malaysia,Kolej Vokasional Kajang,N/A,N/A,N/A,N/A,Stadium Kajang
KG35,Kajang,Kajang,No,No,Yes,No,No,N/A,KB06 Kajang [KTM Batu Caves-Pulau Sebang Line],"KTM Batu Caves-Pulau Sebang Line, KTM ETS Gemas-Padang Besar Line","T451, T461, T462, T463, T464, 450, 451",N/A,Yes,N/A,N/A,N/A,N/A,New Era University College,N/A,N/A,N/A,N/A,N/A,N/A
